unit_id,unit_name,level,move_type,defense_type,terrain_id,terrain_name,baseline_move_cost,baseline_defense,your_move_cost,your_defense,note
lieutenant,将軍,2,walk,walk,grassland,草原,1,40,-,-,
lieutenant,将軍,2,walk,walk,hills,丘,2,50,-,-,
lieutenant,将軍,2,walk,walk,mountains,岩場,不可,60,-,-,
lieutenant,将軍,2,walk,walk,forest,森,2,50,-,-,
lieutenant,将軍,2,walk,walk,village,補給拠点,1,60,-,-,
lieutenant,将軍,2,walk,walk,castle,陣地,1,60,-,-,
lieutenant,将軍,2,walk,walk,keep,フラッグ,1,60,-,-,
lieutenant,将軍,2,walk,walk,swamp,沼地,3,20,-,-,
lieutenant,将軍,2,walk,walk,shallow_water,浅瀬,3,20,-,-,
lieutenant,将軍,2,walk,walk,reef,岸,2,30,-,-,
lieutenant,将軍,2,walk,walk,deep_water,深水,不可,20,-,-,
lieutenant,将軍,2,walk,walk,tochka,トーチカ,2,50,-,-,
lieutenant,将軍,2,walk,walk,sand,砂地,2,30,-,-,
lieutenant,将軍,2,walk,walk,desert,砂丘,2,30,-,-,
lieutenant,将軍,2,walk,walk,cave,洞窟,2,40,-,-,
lieutenant,将軍,2,walk,walk,obstacle,障害物,不可,40,-,-,全ユニット進入不可のため調査対象外
lieutenant,将軍,2,walk,walk,void,場外,不可,40,-,-,全ユニット進入不可のため調査対象外
white_mage,魔術師,2,walk,walk,grassland,草原,1,40,-,-,
white_mage,魔術師,2,walk,walk,hills,丘,2,50,-,-,
white_mage,魔術師,2,walk,walk,mountains,岩場,不可,60,-,-,
white_mage,魔術師,2,walk,walk,forest,森,2,50,-,-,
white_mage,魔術師,2,walk,walk,village,補給拠点,1,60,-,-,
white_mage,魔術師,2,walk,walk,castle,陣地,1,60,-,-,
white_mage,魔術師,2,walk,walk,keep,フラッグ,1,60,-,-,
white_mage,魔術師,2,walk,walk,swamp,沼地,3,20,-,-,
white_mage,魔術師,2,walk,walk,shallow_water,浅瀬,3,20,-,-,
white_mage,魔術師,2,walk,walk,reef,岸,2,30,-,-,
white_mage,魔術師,2,walk,walk,deep_water,深水,不可,20,-,-,
white_mage,魔術師,2,walk,walk,tochka,トーチカ,2,50,-,-,
white_mage,魔術師,2,walk,walk,sand,砂地,2,30,-,-,
white_mage,魔術師,2,walk,walk,desert,砂丘,2,30,-,-,
white_mage,魔術師,2,walk,walk,cave,洞窟,2,40,-,-,
white_mage,魔術師,2,walk,walk,obstacle,障害物,不可,40,-,-,全ユニット進入不可のため調査対象外
white_mage,魔術師,2,walk,walk,void,場外,不可,40,-,-,全ユニット進入不可のため調査対象外
swordsman,ブレードマスター,2,walk,walk,grassland,草原,1,40,-,-,
swordsman,ブレードマスター,2,walk,walk,hills,丘,2,50,-,-,
swordsman,ブレードマスター,2,walk,walk,mountains,岩場,不可,60,-,-,
swordsman,ブレードマスター,2,walk,walk,forest,森,2,50,-,-,
swordsman,ブレードマスター,2,walk,walk,village,補給拠点,1,60,-,-,
swordsman,ブレードマスター,2,walk,walk,castle,陣地,1,60,-,-,
swordsman,ブレードマスター,2,walk,walk,keep,フラッグ,1,60,-,-,
